"id";"sample_name";"project";"analysis";"run";"gender";"created";"no_mismatches"
47;"TC-1";"140121";"1.0 - 220121novy";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";2
48;"TC-10";"140121";"1.0 - 220121novy";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
49;"TC-11";"140121";"1.0 - 220121novy";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
50;"TC-12";"140121";"1.0 - 220121novy";"user admin@forenseq.uas";"N/A";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";2
51;"TC-13";"140121";"1.0 - 220121novy";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
52;"TC-14";"140121";"1.0 - 220121novy";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";1
53;"TC-15";"140121";"1.0 - 220121novy";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";1
54;"TC-5";"140121";"1.0 - 220121novy";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";2
55;"TC-8";"140121";"1.0 - 220121novy";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";1
56;"TC-9";"140121";"1.0 - 220121novy";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";1
57;"1-01";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
58;"1-02";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
59;"1-08";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
60;"1-14";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XX";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
61;"1-18";"140121";"1.0 - 140121";"user admin@forenseq.uas";"XY";"23 Jan 2021 at 03:13PM (Pacific Standard Time)";0
