"id";"sample_name";"project";"analysis";"run";"gender";"created";"no_mismatches"
920;"AA16-65634-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XX";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";0
921;"AA16-65635-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";4
922;"AA16-65636-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XX";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";15
923;"AA16-65637-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";0
924;"AA16-65638-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";3
925;"AA16-65639-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";2
926;"AA16-65640-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";2
927;"AA16-65641-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";2
928;"AA16-65642-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"N/A";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";3
929;"AA16-65643-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"N/A";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";7
930;"AA16-65644-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"N/A";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";2
931;"AA16-65645-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";2
932;"AA16-65646-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";2
933;"AA16-65647-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XX";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";2
934;"AA16-65648-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";3
935;"AA16-65649-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"N/A";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";3
936;"AA16-65650-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";0
937;"AA16-65651-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"N/A";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";3
938;"AA16-65652-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XX";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";6
939;"AA16-65653-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";2
940;"AA16-65654-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";1
941;"AA16-65655-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";7
942;"AA16-65656-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";0
943;"AA16-65657-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"N/A";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";5
944;"AA16-65658-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";3
945;"AA16-65659-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"N/A";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";1
946;"AA16-65660-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";1
947;"AA16-65661-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";6
948;"AA16-65662-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";1
949;"AA16-65663-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";1
950;"AA16-65664-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"N/A";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";4
951;"AA16-65665-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XX";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";1
952;"AA16-65666-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";1
953;"AA16-65667-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";1
954;"AA16-65668-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"N/A";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";4
955;"AA16-65669-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";4
956;"AA16-65670-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XY";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";4
957;"AA16-65671-OF01";"24717";"2.0 - 24717";"user admin@forenseq.uas";"XX";"14 Nov 2020 at 05:23AM (Pacific Standard Time)";3
